loss,rpn_class_loss,rpn_bbox_loss,mrcnn_class_loss,mrcnn_bbox_loss,mrcnn_mask_loss,val_loss,val_rpn_class_loss,val_rpn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_bbox_loss,val_mrcnn_mask_loss
7.2331,1.8123,1.6588,2.54,0.5954,0.6265,5.4742,0.5907,0.7489,2.0071,1.0149,1.1125
4.3337,1.2741,1.3481,0.5273,0.6088,0.5754,4.5515,0.1968,0.7707,1.7164,0.8916,0.976
2.7225,0.5809,1.1746,0.294,0.3587,0.3143,4.1357,0.4851,0.7463,1.2818,0.7739,0.8485
2.7625,0.4573,1.0665,0.3681,0.4089,0.4616,3.8408,0.1844,0.7652,1.3253,0.7802,0.7857
2.5227,0.4967,1.015,0.25,0.4225,0.3386,3.4302,0.2493,0.6352,1.0583,0.7156,0.7718
2.408,0.4232,0.8702,0.3289,0.3653,0.4204,3.4867,0.2547,0.6854,1.1274,0.6852,0.7339
2.4732,0.4107,1.1869,0.2251,0.3548,0.2959,3.3626,0.1946,0.6499,1.0884,0.7019,0.7277
2.3528,0.4254,1.0363,0.1955,0.3795,0.316,3.3398,0.2446,0.6649,1.0304,0.6789,0.721
2.4156,0.3816,0.8645,0.2898,0.4544,0.4253,3.2114,0.1733,0.6493,1.0541,0.6148,0.72
2.5238,0.3747,1.1351,0.3032,0.348,0.3628,3.0432,0.174,0.5884,0.9615,0.6069,0.7125
2.3579,0.3718,0.9923,0.2285,0.3606,0.4047,2.933,0.2055,0.5308,0.9236,0.565,0.7081
2.1424,0.3936,0.9138,0.2364,0.2842,0.3143,2.9432,0.1686,0.5851,0.9336,0.5556,0.7004
2.2487,0.3908,0.9722,0.2238,0.3232,0.3386,2.9064,0.1883,0.6083,0.8775,0.5376,0.6947
2.287,0.3825,1.0937,0.1947,0.2927,0.3234,2.7912,0.165,0.5856,0.8523,0.5026,0.6857
2.2333,0.3465,0.912,0.2236,0.3562,0.3949,2.7936,0.1538,0.6325,0.8304,0.5008,0.6761
